Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
MushLove,U.S. company that produces mushroom ingredients using fermentation-based biosynthesis for food and cosmetic products ,Biomass fermentation,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,Mushrooms,United States and Canada,United States,Oklahoma,Tulsa,https://mushlove.co,2020,Arsha Shirazi
Muu,,Precision fermentation,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,,Asia Pacific,Thailand,,,https://www.drinkmuu.com/,2021,
Myco Foods,UK-based innovation company producing plant-based meats with only 5 ingredients.,"Plant-based,Biomass fermentation",B2C,"Meat,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Crop development,Scaffolding and structure","Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Mutton/lamb",Mushrooms,Europe,United Kingdom,,Leeming Bar,https://www.mycofoods.co.uk/,2016,Jay Croslegh and John Shepherd
Myco4Food,Providing sustainable and innovative solid-state fermentation technology for versatile fungal applications at industrial scale. ,Biomass fermentation,B2B,Bioprocessing infrastructure and equipment,Diversified,Bioprocess design,,,,Europe,Denmark,,Albertslund,www.myco4food.dk,2022,"Peter Lübeck Stephensen, Jesper Schierbeck-Hansen, and Mette Lübeck"
Mycofeast,"Mycofeast is an industrial biotechnology company using biomass fermentation to develop proteins, specialty lipids, and ingredients for the food and animal feed sectors, with yeast and algae strains.",Biomass fermentation,B2C,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),Bioprocess design,,,,Europe,United Kingdom,,Oxford,https://mycofeast.co.uk/,2024,
Mycosortia,Mycosortia specializes in turning food side streams that are unfit for human consumption into edible alternative protein products using our proprietary microbial biotransformation technology.,Precision fermentation,B2B,"Meat,Dairy",Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,Asia Pacific,Singapore,,,https://mycosortia.com/,2022,
MycoSure,MycoSure is a South African FoodTech focused on the production of mycelium-based protein and nutraceutical ingredients using submerged biomass fermentation. ,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Bioprocess design,End product formulation and manufacturing,Ingredient optimization,Feedstocks",Ingredients,,Mycoprotein,Africa/Middle East,South Africa,,Johannesburg,www.mycosure.co.za,2021,Charles Reed and Greg Brown
MycoTechnology,Producer of pea and rice proteins fermented by shiitake mycelium. ,"Traditional fermentation,Biomass fermentation","B2C,B2B",Ingredients and inputs,Specialized (focused on alternative proteins),"Feedstocks,Target molecule selection",,,,United States and Canada,United States,Colorado,Aurora,https://www.mycoiq.com/,2013,"Alan Hahn, Brooks J. Kelly, James P. Langan, Peter Lubar"
Mycovation,"Mycovation is an Alternative protein based mycelium platform developing healthy, minimally processed , sustainable and Affordable food products using Fermentation technology.",Biomass fermentation,B2B,"Meat,Dairy,Ingredients and inputs",Specialized (focused on alternative proteins),"Bioprocess design,End product formulation and manufacturing,Target molecule selection,Feedstocks","Ingredients,Other meat/seafood,Ground meat/seafood",,"Fungi,Mushrooms",Asia Pacific,Singapore,,Chin Bee Drive,https://www.mycovation.asia/,2020,Shiva Susarla 
Mycsology,"Sustainable nutrient-dense protein foods powered by plants and fungi. 
",Biomass fermentation,,Ingredients and inputs,Specialized (focused on alternative proteins),,,,Mycelium,United States and Canada,United States,,,https://mycsology.com/,2024,Yekaterina Tarasova
MyEy,Maker of plant-based egg substitute for cooking and baking,Plant-based,"B2C,B2B","Ingredients and inputs,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,Lupine,Europe,Austria,,,https://myey.info/egg-replacer-processor/?lang=en,2013,
MyForest Foods,"U.S.-based company producing Mycelium-based whole cut meats, including bacon under the brand ""MyBacon""",Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Whole muscle meat/seafood,"Beef/veal,Pork",Mushrooms,United States and Canada,United States,New York ,Albany,https://myforestfoods.com/,2019,"Eben Bayer, Steve Lomnes, Russell Hazen, Gavin McIntyre, Andy Bass, and Alex Carlton"
MyLife,Australia-based company producing plant-based cheeses.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Coconut,Rice",Australia/New Zealand,Australia,,Melbourne,https://www.mylifebio.net.au/,1968,
Myo Palate,Canada-based company creating natural cultivated pork. ,Cultivated,B2C,Meat,Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing,Bioprocess design,Cell line development",Ground meat/seafood,Pork,,United States and Canada,Canada,,Toronto,www.myopalate.com,2021,"Charlie Hua, Frank Yu"
Myodenovo,North Carolina-based company creating scaffolds for cultivated meat production. ,Cultivated,B2C,Meat,Specialized (focused on alternative proteins),Scaffolding and structure,Other,,,United States and Canada,United States,North Carolina,Durham,https://myodenovo.com/,2022,George Engelmayr
Myoworks,India-based company producing edible scaffolding for the cultivated meat industry.,Cultivated,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Cell line development,Scaffolding and structure",Ingredients,,,Asia Pacific,India ,,Mumbai,www.myoworks.in ,2020,Nihal Singh and Shubhankar Takle
MyriaMeat,Cultivated meat company from Germany making real muscle from iPSC. ,Cultivated,"B2B,B2C",Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Bioprocess design,Cell line development",Whole muscle meat/seafood,"Pork,Beef/veal,Other",,Europe,Germany,,Munich,www.myriameat.com,2022,Florian Huettner
Myrtle Greens,"Produces beef, chicken, turkey, ham, fish, shrimp, and other meat alternative products. Produces various Asian-inspired meat-alternative-centric meals, such as vegan citrus spare rib cutlets and vegan ginger chicken. Sold in the frozen section of many natural foods stores. ",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,Soy,"United States and Canada,Latin America,Asia Pacific",United States,California,Monrovia,https://www.myrtlegreensco.com/,1987,
n!Biomachines Ltd,"n!Biomachines, a subsidiary of The Cultivated B, specializes in developing and manufacturing fit-for-purpose bioreactors for the next generation of bioprocessing. It targets benchtop-, pilot- and industrial-scale bioprocessing, ensuring high-quality, safe and efficient operations. ","Cultivated,Precision fermentation,Traditional fermentation,Fermentation-derived,Biomass fermentation",B2B,"Bioprocessing infrastructure and equipment,Contract manufacturing/processing,Food processing infrastructure and equipment",Diversified,"Bioprocess design,End product formulation and manufacturing",,,,United States and Canada,Canada,,"Burlington, Ontario",https://www.n-factorial.com/,2023,
Naarmann,"Germany-based supplier of high-quality, semi-perishable and varied dairy products in the catering, restaurant and food processing industries; also has a line of plant-based dairy under the brand name ""We Love Plants."" ",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Milk,,"Oat,Almond,Soy",Europe,Germany,,Neuenkirchen,https://www.naarmann.de/en,1903,Theodor Naarmann
NadaMoo!,U.S.-based company producing coconut milk-based ice cream,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,"Coconut,Almond",United States and Canada,United States,Texas,Austin,http://nadamoo.com/,2004,Daniel Nicholson
Nafsika's Garden ,"Plant-based cheeses, spreads, yogurts, and desserts

",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,Coconut,United States and Canada,Canada,,,https://nafsikasgarden.com/about-us/,2018,Nafsika Antypas
Naikai (Shanghai) Co.,"Trade company who deals with importing and exporting raw material of health products, pharmaceutical and chemical raw material, and food additives. ",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,,Asia Pacific,Mainland China,,Shanghai,http://naikai-health.com/,2006,Lijun Leng
Namaste Foods ,"U.S.-based company that produces a variety of gluten and allergy-free baking ingredients, including a plant-based egg replacer",Plant-based,B2C,Eggs,Diversified,End product formulation and manufacturing,Eggs,,Tapioca,United States and Canada,United States,Washington,Spokane,https://namastefoods.com/,2000,Bret Taylor
Nanak ,"Canada-based company with  the largest federally approved Indian dairy in North America that specialises in Indian dairy & food products, but also has a few plant-based meat alternatives. ",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,,,United States and Canada,Canada,,Surrey,https://nanakfoods.com/,1998,"Gurpreet Arneja, Vineet Taneja"
Nancy's,US-based company that produces dairy- and oat-based yogurts,Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,Oat,United States and Canada,United States,Oregon,Eugene,http://nancysyogurt.com/,1960,
Nandi Proteins,"Food science company working to improve the functionality of proteins for use in food, including plant-based replacements for animal proteins.",Plant-based,B2B,"Eggs,Ingredients and inputs",Diversified,Ingredient optimization,"Eggs,Ingredients",Other,"Rapeseed,Oat,Fava bean",Europe,United Kingdom,,Edinburgh,http://nandiproteins.com/,2001,Lydia Campbell
Nanka,"Malaysia-based company that produces plant-based and hybrid meat-plant products, primarily under the brand ""Nanka""",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Chicken","Jackfruit,Mushrooms",Asia Pacific,Malaysia,,,https://nanka.in/,2015,
NanoTemper Technologies,"Germany-based company offering biophysical characterization tools to help researchers study molecular interactions, protein stability, and protein quality.",Cultivated,B2B,Bioprocessing infrastructure and equipment,Diversified,Cell line development,,,,"United States and Canada,Europe,Asia Pacific,Africa/Middle East,Australia/New Zealand",Germany,,Munich,https://nanotempertech.com/,2008,Stefan Duhr and Philipp Baaske
NapiFeryn BioTech,Poland-based company focusing on rapeseed proteins for plant-based meat production.,Plant-based,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Ingredient optimization,Bioprocess design",Ingredients,,"Rapeseed,Canola",Europe,Poland,,Łódź,https://napiferyn.com/,2014,Magdalena Kozłowska and Piotr Wnukowski
Naplasol,"Naplasol is a Belgian company that specialises in natural fermented mycoproteins for food applications.
",Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Mycoprotein,Europe,Belgium,,Bree,https://www.naplasol.com/,2019,Wim Slee
Nasoya,"US-based company that is part of parent company in Korea grounded in a 40-year rich history specializing in plant-based foods (tofu) and plant-based meat products. The sub brand for our products is Plantspired which provides simple, delicious and convenient meal solutions. ",Plant-based,"B2C,B2B","Meat,Ingredients and inputs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other meat/seafood,Other","Chicken,Beef/veal",,"United States and Canada,Asia Pacific",South Korea,,Seoul,https://www.nasoya.com/,1980,Mr. Won
National Renewable Energy Laboratory - Bioprocessing Pilot Plant,,Fermentation-derived,,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,,,https://www.nrel.gov/docs/fy04osti/34309.pdf,,
National Research Council of Canada - Human Health Therapeutics Centre,,Fermentation-derived,,Contract manufacturing/processing,Diversified,,,,,United States and Canada,Canada,,,https://nrc.canada.ca/en/research-development/research-collaboration/research-centres/human-health-therapeutics-research-centre,,
National Science Foundation - Engineering Research Centers,,Cultivated,,Contract manufacturing/processing,Diversified,End product formulation and manufacturing,,,,United States and Canada,United States,Virginia,,https://erc-assoc.org/,1984,
Natumi,German plant-based milk brand.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Oat,Soy,Rice,Coconut,Cashew,Almond,Buckwheat,Millet",Europe,Germany,,Troisdorf,https://www.natumi.com/,1999,Bruno Fischer
Natur Green,"Spanish company that produces various plant-based food products, including dairy and egg replacements.",Plant-based,B2C,"Dairy,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy,Other",,"Oat,Quinoa,Soy,Coconut,Rice,Buckwheat,Tapioca,Almond,Cashew",Europe,Spain,,Murcia,https://naturgreen.es/en/,1991,
Natura,Canada-based producer of plant-based  milks. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond,Oat,Rice",United States and Canada,Canada,,Saint-Hyacinthe,https://natura.ca/en/,1992,
Natura Veg,Brazil-based producer of meltable dairy-free cheese. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Algae,Palm",Latin America,Brazil,,São José dos Pinhais,https://naturaveg.com.br/site/,2005,
"Natural Products, Inc.",Producer of high quality soybeans. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,Soy,United States and Canada,United States,Iowa,Grinnell,https://www.npisoy.com/,1995,
Naturannova,Plant-based protein flavors,"Plant-based,Precision fermentation",B2C,Ingredients and inputs,Specialized (focused on alternative proteins),"Ingredient optimization,Target molecule selection",,,,Latin America,Chile,,Santiago,https://www.naturannova.com/,2023,"Antonella De Lazzar, Juan Carlos Duarte Ramírez"
Nature's Charm,"Thai company that produces vegan dessert toppings, including coconut-based condensed milk and whipping cream. ",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,Coconut,Asia Pacific,Thailand,,,https://www.naturescharmveganproducts.com/,2014,
Nature's Fynd,US-based company that uses fermentation to produce plant-based patties and cream cheese,Biomass fermentation,B2C,"Meat,Dairy",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization","Cheese,Ground meat/seafood",,,United States and Canada,United States,Illinois ,Chicago,https://www.naturesfynd.com/,2012,
Natures Crops International,"US-based company that supplies Ahiflower® oil, a naturally complete and balanced plant-based omega, in liquid and powdered forms. Our products have particular applications in plant-based seafood.",Plant-based,B2B,Ingredients and inputs,Diversified,"Crop development,Ingredient optimization",Oils and fats,,Omega-3 ,United States and Canada,United States,North Carolina,Winston Salem,www.naturescrops.com,2008,Andrew Hebard
Naturinni,Brazilian maker of plant-based bacon from potato and eddoe,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Pork,,"Latin America,Europe",Brazil,,Florianópolis ,http://www.naturinni.com.br/,2017,"Thiago Focking, Natalia Crespi"
Naturli,Danish maker of plant-based meat and dairy.,Plant-based,B2C,"Dairy,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal","Pea,Rapeseed,Coconut,Almond,Soy,Rice,Oat",Europe,Denmark,,Aarhus,https://www.naturli-foods.com/,1988,
Natursoy,"Spanish company that produces various organic products, including plant-based meats.",Plant-based,B2C,Meat,Diversified,,"Whole muscle meat/seafood,Ground meat/seafood","Chicken,Beef/veal,Pork",Soy,Europe,Spain,,Barcelona,https://www.natursoy.com/,1988,
Natuterra,Brazilian Producer of plant-based dairy products. ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Cheese,Other dairy",,"Almond,Coconut,Oat,Palm,Pea,Sunflower",Latin America,Brazil,,São Paulo,https://www.lojanatuterradrinks.com/,2020,"Steffan Hywel Adams, Ieuan Adams Denegri"
neat,"Produces ground beef alternatives made of ground nuts; produces the ""neategg"" (to be used as a binder only).",Plant-based,B2C,"Eggs,Meat",Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Beef/veal,Pork",Soy,United States and Canada,United States,North Carolina,Nashville,http://eatneat.com/,2008,Laura Lapp
NeatMeatt,"Neat Meatt is working to developing affordable cultivated meat technology solutions for Low and Middle Income Countries. Neatt Meatt has developed chicken and fish cell lines, and is now working on novel bioprocess design to support sustainable cultivated meat industry.",Cultivated,B2B,"Seafood,Meat,Ingredients and inputs",Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing,Cell line development,Bioprocess design",Ingredients,"Chicken,Other fish",,Asia Pacific,India ,,"New Delhi, Hyderabad",https://neatmeatt.in/,2022,Dr. Sandeep Sharma
Neggst,Germany-based company producing plant-based eggs.,Plant-based,"B2C,B2B",Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Eggs,,"Canola,Fava bean,Pea",Europe,Germany,,Berlin,https://www.neggst.co/,2021,Verónica García-Arteaga and Dr. Patrick Deufel 
Nemoloko,"Ukraine-based brand of plant-based substitutes for milk, cream, and desserts. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Other dairy",,"Oat,Buckwheat,Rice",Europe,Ukraine,,Kyiv,https://ne-moloko.com/,2018,
neMyaso (unMeat),Russian plant-based meat producer.,Plant-based,B2B,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood","Chicken,Beef/veal",,Europe,Russia,,Kostroma,https://unmeat.ru/en/,2019,
Nepra Foods,US-based multi-category market leader in delicious allergen-free and plant-based food ingredients and consumer products.,Plant-based,"B2C,B2B","Meat,Dairy,Ingredients and inputs",Diversified,"End product formulation and manufacturing,Ingredient optimization","Ground meat/seafood,Cheese,Other dairy",Beef/veal,Hemp,United States and Canada,United States,Colorado,Centennial,https://neprafoods.com/,2020,
Nestlé,Multinational manufacturer of food products that is working with Switzerland-based Future Meat Technologies to explore cultivated meat.,"Plant-based,Cultivated","B2C,B2B","Contract manufacturing/processing,Meat,Seafood",Diversified,End product formulation and manufacturing,"Ground meat/seafood,Milk,Whole muscle meat/seafood","Beef/veal,Chicken,Other fish,Other shellfish,Tuna",Soy,Europe,Switzerland,,Vevey,https://www.nestle.com/,1866,
Netzsch Grinding & Dispersing ,"German based machine manufacturer for Food Industry, supplies machinery for dry grinding, wet grinding and mixing",Plant-based,B2B,"Food processing infrastructure and equipment,Contract manufacturing/processing",Diversified,,,,,"Europe,Asia Pacific,Latin America,United States and Canada",Germany,,Selb,https://www.netzsch.com/en,1871,Thomas and Christian Netzsch
New Barn,"Produces organic almond milk, as well as a buttery spread",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Almond,Coconut",United States and Canada,United States,California,Healdsburg,http://www.thenewbarn.com/,2015,Ted Robb
New Breed Meats,"US-based producer of plant-based ground meat, burgers, and sausages that are free of the top eight allergens. ",Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,"Pea,Algae,Rice,Sunflower",United States and Canada,United States,Georgia,Atlanta,https://www.eatnewbreed.com/,2018,"Samantha Edwards, Rochelle (Willis) Mekowulu "
New Culture,Startup using fermentation to produce animal-free casein for cheese and has started with mozzarella,Precision fermentation,B2C,Dairy,Specialized (focused on alternative proteins),Target molecule selection,Cheese,,,United States and Canada,United States,California,San Leandro,https://www.newculturefood.com/,2018,"Inja Radman, Matt Gibson"
New Protein Global,"Canadian company building a highly-sustainable soy protein facility, with an exclusive technology for producing clean-label protein, free of hexane.",Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,,,Soy,United States and Canada,Canada,,Toronto,www.newproteinglobal.com,2018,
New Roots,Produces artisan vegan cheese and yogurt in Switzerland. ,"Plant-based,Traditional fermentation",B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,Cashew,Europe,Switzerland,,Oberdiessbach,https://www.newroots.ch/,2014,"Freddy Hunziker, Alice Fauconnet"
New School Foods,Canadian producer of plant-based whole-cut seafood. ,Plant-based,"B2C,B2B","Seafood,Meat,Food processing infrastructure and equipment",Specialized (focused on alternative proteins),Scaffolding and structure,"Whole muscle meat/seafood,Other meat/seafood",Other fish,,United States and Canada,Canada,,Toronto,www.newschoolfoods.co,2021,Chris Bryson
New Wave Biotech,"AI bioprocess software company helping scale bioprocesses quicker, at lower cost and more sustainably through virtual simulations.",Precision fermentation,B2B,Bioprocessing infrastructure and equipment,Specialized (focused on alternative proteins),Bioprocess design,Other,,,Europe,United Kingdom,,London,https://www.newwavebiotech.com,2022,Zoe Yu Tung Law and Oli Hall
New Zealand Food Innovation Network,,Plant-based,B2B,Contract manufacturing/processing,Diversified,,,,,Australia/New Zealand,New Zealand,,,https://foodinnovationnetwork.co.nz/locations/foodbowl,2011,
Newer Foods,A Turkey-based company that produces innovative plant-based foods.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Ground meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Turkey,Mutton/lamb",Pea,Europe,Turkey,,Manisa,https://www.newerfoods.com/en/home,2021,"Ozan Ozdil, Fatih Celik, and Prof. Semra Kayaardi"
Newform Foods,"Formerly known as Mzansi Meat Co., Newform Foods' mission is to reinvent food systems for the benefit of our planet, our health and the lives of animals.",Cultivated,B2C,Meat,Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,"Beef/veal,Chicken",,Africa/Middle East,South Africa,,Cape Town,https://newformfoods.co.uk/,2020,Jay Van Der Walt and Brett Thompson
NewMoo,"NewMoo grows real cheese, inside plants using plant molecular farming technologies. NewMoo works with dairy brands to integrate NewMoo Liquid Casein into their products. ",Plant molecular farming,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Crop development,Target molecule selection",Other dairy,,Casein,Africa/Middle East,Israel,,Raanana,https://newmoofoods.com/,2020,Aviad Meizles
"NewOrganics, Inc.",Small-scale producer of niche ingredients for buyers. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Sunflower,Canola,Coconut",United States and Canada,United States,California,Kenwood,www.neworganics.com,2009,
Nex-xus Distribution,"Distributes ingredients for the food, beverage, and sports nutrition industries. ",Plant-based,B2B,Ingredients and inputs,Diversified,,,,"Soy,Hemp,Rice,Pea,Fava bean",United States and Canada,Canada,,Montreal,http://nexxusfoods.com/en/,2004,
Nexcel Natural Ingredients,Integrated distribution sight for a variety of Non-GMO and expeller-pressed natural oils. ,Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,,,"Soy,Canola,Sunflower",United States and Canada,United States,Illinois ,Springfield,http://www.nexcelfoods.com/,2000,
Nexcelom Bioscience,"Developer and marketer of image cytometry products for cell analysis in life science and biomedical research, products ranging from cell viability counters (Cellometer) to high throughput microwell image cytometry workstations (Celigo),",Cultivated,B2B,Bioprocessing infrastructure and equipment,Diversified,Cell line development,,,,United States and Canada,United States,Massachusetts,Lawrence,https://www.nexcelom.com,2003,Jean Qiu
NEXT! Foods,NEXT! makes plant-based bacon strips and plant-based chicken chunks.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,"Chicken,Pork",Soy,"Europe,Asia Pacific,Africa/Middle East",Singapore,,Singapore,https://www.nextfoods.co/,2019,Biren Doshi & Beni Nofech
NextFerm,"Startup working on fermented proteins (astaxanthin) for supplements, infant nutrition, and animal feed (part of a larger business)",Precision fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Host strain development,,,,Africa/Middle East,Israel,,Yoqne`am `illit,https://www.nextferm.com/,2013,"Boaz Noy, Tzafra Cohen"
Nexture Bio,"Nexture Bio develops scaffolds, microcarriers, cell-attachment factors, and other enabling technologies for the cultivated meat industry.",Cultivated,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Scaffolding and structure,Ingredients,,,United States and Canada,United States,California,Woodland,https://nexturebio.com/,2023,
NFA Foods,California-based company that produces plant-based egg and meat products,Plant-based,B2C,"Meat,Eggs,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs","Other shellfish,Pork,Shrimp",,United States and Canada,United States,California,San Diego ,https://www.nfafoods.com,2019,
Nichirei Foods Corporation,Frozen Food Top Manufactures in Japan,Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Whole muscle meat/seafood,Chicken,,Asia Pacific,Japan,,Tokyo,https://www.nichirei.co.jp/english/corpo/outline/group/foods.html,2005,
Ninth Avenue Foods,"U.S.-based manufacturing facility for dairy, non-dairy, and plant-based beverages.",Plant-based,"B2C,B2B","Food processing infrastructure and equipment,Contract manufacturing/processing",Diversified,,,,,United States and Canada,United States,California,City of Industry,https://www.ninthavenuefoods.com/,2016,
Nippon Ham Foods,"Japan-based company that engages in the manufacturing, processing, and sale of processed and fresh meats, and prepared foods, including plant-based meat ",Plant-based,B2C,Meat,Diversified,End product formulation and manufacturing,Ground meat/seafood,Beef/veal,Soy,Asia Pacific,Japan,,Tokushima,https://www.nipponham.co.jp/eng/,1949,
Nissin Food Products Co.,"Japan-based company that producing and selling convenience food and instant noodles, carrying out research on cultured steak meat",Cultivated,B2C,Meat,Diversified,End product formulation and manufacturing,Whole muscle meat/seafood,Beef/veal,,Asia Pacific,Japan,,Tokyo,https://www.nissin.com/en_jp/,1958,Momofuku Ando
NIÚKE Foods ,"Focused on plant-based milks. Also, make VMAYO and other plant-based spreads and dressings. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Milk,Ingredients",,"Quinoa,Chickpea,Peanut",United States and Canada,United States,Florida,Miami,https://www.niukefoods.com/,2019,"Horacio José Rivabella Argüello, Gustavo, Jessica Castellano"
NIZO,"The use of alternative proteins in food is a major trend in the food industry as feeding the world and sustainability are major drivers for food ingredient and food producers. NIZO focuses on relevant aspects of technologies that enable this transition namely: protein technology, processing technologies, food grade fermentation technologies and the health aspects.","Plant-based,Precision fermentation",B2B,Contract manufacturing/processing,Diversified,,,,,Europe,Netherlands,,,https://www.nizo.com,2003,
No Bull Burger,Producer of gourmet veggie burgers,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,"Lentils,Quinoa",United States and Canada,United States,Virginia,Charlottesville,https://nobullburger.com/,2011,"Crissanne Raymond, Heather Raymond, Elizabeth Raymond"
No Meat,U.K.-based plant-based meat company.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood,Other meat/seafood","Beef/veal,Pork,Turkey,Chicken","Soy,Pea,White bean",Europe,United Kingdom,,,https://www.no-meat.co.uk/,2018,
No Meat Factory,Canada-based company that produces plant-based products for third-party customers. ,Plant-based,B2C,"Meat,Contract manufacturing/processing",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Whole muscle meat/seafood,Other meat/seafood","Beef/veal,Chicken,Pork,Turkey",Rapeseed,United States and Canada,Canada,,Coldstream,https://www.nomeatfactory.com/,2019,"Dieter Thiem, Leon Bell"
No Mo Moo,"Romania-based, family-run startup that develops nut-based cheese, butter, faux gras, and sauces.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Cheese,Other dairy",,"Cashew,Coconut",Europe,Romania,,Bucharest,https://nomomoo.ro/,2018,
NOA,"Focused on creating non-GMO, gluten free, palm and soy free plant-based products including spreads and alternative cheese slices.",Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Cheese,,"Lupine,Chickpea,Coconut",Europe,Germany,,Buchloe,https://www.noa-pflanzlich.de/alles-ueber-noa/,2016,"Dr. Wilfried Huber, Klaus Ensslen, Stefan Kugelmann, and Dr. Regina Schuster-Wolff-Bühring"
Noble Jerky,Canadian producer of plant-based jerky. ,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Beef/veal,Soy,United States and Canada,Canada,,Burnaby,https://noblejerky.com/,2017,
NoBo,"Produces plant-based ice cream, sweets, and snacks in Ireland.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,"Coconut,Rice,Cashew",Europe,Ireland,,Dublin,https://www.nobo.ie/,2012,Rachel and Brian Nolan
NoMoo,"Brazilian producer of cashew cheese, butter, and mayo.","Plant-based,Traditional fermentation",B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Cheese",,Cashew,Latin America,Brazil,,Rio de Janeiro,https://www.nomoo.com.br/,2016,Nathalia Pires
